"Id","contexte_travail","fonction_recherche","statut_professionnel","statut_professionnel_Autre","annee_premiere_publi","Systeme_exploitation","Usage_telephone_mobile","Outils_gestion_travail_av_confinement_visioconférence","Outils_gestion_travail_av_confinement_planification_RDV","Outils_gestion_travail_av_confinement_gestion_temps","Outils_gestion_travail_av_confinement_métier_interne_entreprise","Outils_gestion_travail_av_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_av_confinement_services_ligne","Outils_gestion_travail_av_confinement_redaction_collectif","Outils_gestion_travail_av_confinement_gestion_references","Outils_gestion_travail_suite_confinement_visioconference","Outils_gestion_travail_suite_confinement_planification_RDV","Outils_gestion_travail_suite_confinement_gestion_temps","Outils_gestion_travail_suite_confinement_metier_interne_entreprise","Outils_gestion_travail_suite_confinement_planification_suivi_taches_gestion_projet","Outils_gestion_travail_suite_confinement_services_ligne","Outils_gestion_travail_suite_confinement_redaction_collectifs","Outils_gestion_travail_suite_confinement_gestion_references","Acces_informations_recherches_instititionnel","Acces_informations_recherches_moteur_recherche_generalistes","Acces_informations_recherches_moteur_recherche_scientifiques","Acces_informations_recherches_pay_per_view","Acces_informations_recherches_entrepot_donnees","Acces_informations_recherches_reseaux_numeriques_academiques","Acces_informations_recherches_archives_ouvertes","Acces_informations_recherches_bibliotheques_numeriques","Acces_informations_recherches_demandes_web","Acces_informations_recherches_extensions_navigateur","Acces_informations_recherches_bibliotheques_clandestines","Acces_informations_recherches_demande_auteurs","decouverte_outils_num_travail","type_donnees_nombres_valeurs_numeriques","type_donnees_textes","type_donnees_images","type_donnees_videos","type_donnees_ 3D","type_donnees_sons","volumetrie_donnees","Reutilisation_donnees","Archive_long_terme","tiers_archivage","Tiers_archivage_recod","crowdsourcing","outils_sauvegarde_carnets_papier","Outils_sauvegarde_carnets_numeriques","Outils_sauvegarde_base_donnees_labo","Outils_sauvegarde_supports_amovibles","Outils_sauvegarde_reseau_informatique_local","Outils_sauvegarde_disque_dur","Outils_sauvegarde_cloud_institutionnel","Outils_sauvegarde_cloud_non-institutionnel","logiciel_production_donnees","types_logiciels_production_donnees","Usage_outils_nettoyage","outils_nettoyage","Usage_outils_analyse","Outils_analyses","Usage_outils_visualisation","Outils_visualisation","usage_outils_systemes_qualif_donnees","Outils_redaction_documents_traitement_texte","Outils_redaction_documents_traitement_texte_ligne","Outils_redaction_documents_editeur_Latex","Outils_redaction_documents_balisage","Outils_redaction_documents_aide_redaction","Outils_redaction_documents_formats_specifiques","Outils_redaction_documents_gestionnaire_references","Outils_redaction_documents_traduction","Outils_redaction_documents_PAO","outils_production_figure","Formats_presentation_resultats_recherche_communication","Formats_presentation_resultats_recherche_articles_evaluation_pairs","Formats_presentation_resultats_recherche_articles_sans_evaluation_pairs","Formats_presentation_resultats_recherche_chapitre_ouvrage","Formats_presentation_resultats_recherche_presse","Formats_presentation_resultats_recherche_document_interne","Formats_presentation_resultats_recherche_reseaux_sociaux","Formats_presentation_resultats_recherche_livre","Formats_presentation_resultats_recherche_billet_web","Formats_presentation_resultats_recherche_billet_blog_personnel","Formats_presentation_resultats_recherche_autre","criteres_soumission_publi","Pre-print_non_evalues_platerforme_not_for_profit","Pre-print_non_evalues_reseaux-sociaux-num_academiques","Pre-print_non_evalues_site_web_personnel","Diffusion_donnees_produites_complement_plateforme_editeur","Diffusion_donnees_produites_article_donnees","Diffusion_donnees_produites_entrepots_generalistes","Diffusion_donnees_produites_entrepot_disciplinaire","Diffusion_donnees_produites_résultats_négatifs","Diffusion_autres_types_production_projet_recherche","Diffusion_autres_types_production_grant_proposals","Diffusion_autres_types_production_protocoles","Diffusion_autres_types_production_notebook","Diffusion_autres_types_production_codes","Diffusion_autres_types_production_prorotypes","Diffusion_autres_types_production_rapports","Diffusion_autres_types_production_materiels_accompagnement","Diffusion_autres_types_production_posters","Diffusion_publications_evaluees_pairs_archives_ouvertes","Diffusion_publications_evaluees_pairs_entrepots_generalistes","Diffusion_publications_evaluees_pairs_reseaux_sociaux_num_academiques","Valorisation_recherche_referencement","Valorisation_recherche_reseaux_sociaux_num_generalistes","Valorisation_recherche_reseaux_sociaux_num_academiques","Valorisation_recherche_presence_num","Valorisation_recherche_multimédia","Valorisation_recherche_media_ligne","Valorisation_recherche_sciences_citoyennes","Valorisation_recherche_transfert_technologie","Valorisation_recherche_conferences","Valorisation_recherche_hackatons","plateforme_evaluation_ouverte","quelles_plateforme_ouverte","Souhait_partage_donnees_produites-partenariat","Souhait_partage_donnees_produites_discipline","Souhait_partage_donnees_produites_pays_continent","Souhait_partage_donnees_produites_domaine_economique","Souhait_partage_donnees_produites_secteur_associatif","Souhait_partage_donnees_produites_sans_restriction","compatibilite_diffusion_partage","evolutions_pratiques_numeriques","sexe","disciplines_9niv","annee_de_naissance-recod10niv"
754,"nous sommes entre 2 et 5 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","fonctionnaire ou assimilé",,"2010","MacOS","parfois","souvent","souvent","jamais","rarement","jamais","souvent","souvent","toujours","souvent","souvent","jamais","rarement","souvent","souvent","souvent","toujours","souvent","souvent","toujours","jamais","jamais","parfois","souvent","jamais","rarement","souvent","souvent","souvent","par des collègues, des amis;en cherchant par moi-même","souvent","souvent","souvent","jamais","jamais","jamais","?","souvent","oui","XXXX_disciplinaire","Institution_Disciplinaire","non","souvent","rarement","jamais","souvent","jamais","souvent","jamais","toujours","R, Excel","des logiciels libres et gratuits;des logiciels payants","parfois","R","toujours","R","toujours","R","jamais","toujours","souvent","jamais","parfois","jamais","jamais","toujours","parfois","jamais",,"souvent","toujours","rarement","rarement","parfois","rarement","parfois","jamais","rarement","rarement","jamais","frais de publications (Article Processing Charges);indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);diffusion en accès libre (imposé par mon institution, financeur);notoriété de la revue, de l'éditeur, du congrès dans ma discipline","toujours","jamais","jamais","souvent","jamais","jamais","toujours","jamais","non","non","non","non","oui","non","non","non","non","toujours","jamais","souvent","jamais","parfois","parfois","parfois","jamais","rarement","jamais","jamais","toujours","jamais","oui, j'en ai entendu parler","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui bien sur","Plus de partage et d'archivage","un homme","Sciences du vivant","36 à 40 ans"
755,"je travaille seul","ingénieur / ingénieure de recherche","travailleur indépendant",,"1999","Windows","souvent","souvent","parfois","rarement","parfois","rarement","parfois","parfois","souvent","souvent","parfois","rarement","parfois","rarement","rarement","rarement","rarement","rarement","souvent","souvent","rarement","rarement","rarement","rarement","parfois","rarement","rarement","rarement","parfois","par des collègues, des amis;par mon institution, mon entreprise;via les réseaux sociaux numériques (Twitter...)","rarement","rarement","rarement","rarement","rarement","rarement","9Gb","toujours","non",,,"non","rarement","rarement","parfois","souvent","souvent","souvent","parfois","souvent","zemax","des logiciels payants","jamais",,"jamais",,"jamais",,"toujours","souvent","parfois","rarement","rarement","rarement","rarement","rarement","rarement","rarement","paint","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","rarement","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);critères HCERES, FNGE, CNRS, CNU…;frais de publications (Article Processing Charges)","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","oui","oui","oui","oui","oui","oui","oui","oui","oui","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","oui;complexité","un homme","Science de l'ingénieur","66 ans et plus"
756,"nous sommes entre 2 et 5 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"2000","Windows","parfois","rarement","parfois","jamais","jamais","jamais","parfois","parfois","rarement","souvent","parfois","jamais","parfois","jamais","souvent","souvent","parfois","souvent","souvent","jamais","jamais","jamais","rarement","rarement","rarement","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise","rarement","toujours","rarement","rarement","jamais","jamais","DES CENTAINES","parfois","oui","DISQUE DUR EXTERNE","DD externe","non","parfois","jamais","jamais","souvent","souvent","souvent","parfois","souvent","PHOTO","des logiciels libres et gratuits","jamais",,"jamais",,"parfois","LECTEUR PHOTO","jamais","toujours","jamais","rarement","jamais","jamais","jamais","rarement","jamais","jamais","EXCEL","souvent","souvent","souvent","souvent","rarement","souvent","rarement","parfois","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;critères HCERES, FNGE, CNRS, CNU…","souvent","souvent","rarement","rarement","souvent","jamais","jamais","jamais","oui","oui","non","non","non","non","non","non","non","souvent","jamais","souvent","jamais","jamais","souvent","souvent","jamais","jamais","jamais","jamais","souvent","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","non","non","non","non","non","NON PAS TELLE QUE LA VALORISATION EST ORGANISEE; uNE FOIS LES PUBLICATIONS REALISEES il est souhaitable de partager les donnees.","il va falloir trouver une façon de valoriser les supports open sciences pour déconnecter la valeur des journaux / du caractère ""open"" ou pas de ces mêmes journaux. Dans le domaine des SHS ce nest pas si simple.","une femme","Sciences sociales","51 à 55 ans"
757,"je travaille seul","ingénieur / ingénieure de recherche","fonctionnaire ou assimilé",,"1996","Windows","rarement","jamais","parfois","jamais","parfois","jamais","jamais","parfois","souvent","souvent","parfois","jamais","parfois","jamais","jamais","parfois","souvent","souvent","parfois","rarement","jamais","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","par des collègues, des amis;par mon institution, mon entreprise;en cherchant par moi-même","souvent","souvent","souvent","rarement","rarement","jamais","??","jamais","non",,,"non","toujours","souvent","jamais","souvent","jamais","souvent","rarement","souvent","adobe
office
clampfit
prism
zen
imageJ","des logiciels payants;des logiciels partiellement ou complètement gratuits mais propriétaires","jamais",,"souvent","prism
zen
imageJ","parfois","zen
imageJ
clampfit","jamais","toujours","jamais","jamais","jamais","jamais","rarement","toujours","jamais","toujours","adobe
powerpoint","souvent","toujours","jamais","jamais","jamais","parfois","jamais","jamais","parfois","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…)","parfois","jamais","jamais","jamais","toujours","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","parfois","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","parfois","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","oui","oui","oui","non","??","une femme","Médecine","46 à 50 ans"
758,"nous sommes entre 2 et 5 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","post-doc",,"2012","MacOS","parfois","toujours","toujours","jamais","parfois","toujours","toujours","toujours","souvent","toujours","toujours","jamais","parfois","toujours","toujours","toujours","souvent","souvent","toujours","parfois","jamais","souvent","jamais","souvent","jamais","jamais","rarement","parfois","jamais","par des collègues, des amis;par mon institution, mon entreprise;par une veille sur ces questions;en cherchant par moi-même","toujours","jamais","toujours","parfois","jamais","jamais","10TB","rarement","oui","réseau informatique local","réseau informatique local","non","jamais","rarement","rarement","jamais","toujours","parfois","rarement","jamais","simulations spécifiques","des logiciels libres et gratuits","toujours","python","toujours","python","toujours","python","toujours","souvent","rarement","toujours","toujours","jamais","toujours","souvent","souvent","rarement",,"souvent","parfois","jamais","jamais","jamais","rarement","rarement","jamais","rarement","rarement","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (imposé par mon institution, financeur)","rarement","jamais","jamais","jamais","jamais","parfois","jamais","jamais","non","non","non","oui","oui","non","non","non","oui","toujours","jamais","jamais","jamais","jamais","jamais","parfois","jamais","jamais","jamais","jamais","toujours","jamais","oui, j'en ai entendu parler","journaux open peer review  / évaluation ouverte  (pré-publication) (F1000, PeerJ...)","oui","oui","oui","oui","oui","oui","oui","défenseur  de l'open science, je pousse mes institutions à l 'ouverture complète des données produites","un homme","Physique, Sciences de la terre et de l'Univers","31 à 35 ans"
759,"je travaille seul","chercheur / chercheure dans le secteur privé (ingénieur R&D, consultant, expert, chef de projet)","fonctionnaire ou assimilé",,"1985","Windows","jamais","jamais","parfois","jamais","parfois","rarement","parfois","rarement","jamais","rarement","parfois","jamais","parfois","rarement","parfois","rarement","jamais","rarement","souvent","parfois","jamais","jamais","jamais","parfois","souvent","jamais","jamais","jamais","parfois","par mon institution, mon entreprise;par une veille sur ces questions;en cherchant par moi-même","parfois","parfois","parfois","parfois","jamais","jamais","10%","parfois","oui",,,"oui","rarement","rarement","jamais","souvent","souvent","souvent","jamais","parfois","Le meilleur","des logiciels libres et gratuits","jamais",,"jamais",,"rarement","Le meilleur","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","parfois","parfois",,"parfois","rarement","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","parfois","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation;diffusion en accès libre (choix personnel);refus des revues prédatrices","parfois","jamais","parfois","rarement","rarement","jamais","jamais","jamais","non","non","non","non","non","non","non","non","oui","parfois","jamais","jamais","jamais","parfois","parfois","parfois","parfois","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","Oui à condition d'être protégées par droit d'auteur","Oui avec l'IA","un homme","Sciences humaines","56 à 60 ans"
760,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"2000","Windows","jamais","parfois","parfois","jamais","jamais","jamais","jamais","parfois","souvent","souvent","rarement","jamais","jamais","jamais","jamais","parfois","souvent","toujours","rarement","souvent","jamais","jamais","rarement","rarement","jamais","jamais","jamais","parfois","rarement","par des collègues, des amis;par mon institution, mon entreprise","parfois","souvent","parfois","jamais","jamais","jamais","Nc","rarement","non",,,"non","jamais","jamais","jamais","toujours","jamais","toujours","jamais","jamais","Sas spss alceste vosvixer","des logiciels payants;des logiciels libres et gratuits","jamais",,"toujours","Les mêmes","jamais",,"jamais","toujours","jamais","jamais","jamais","jamais","jamais","souvent","toujours","jamais","Word","parfois","toujours","jamais","parfois","jamais","jamais","jamais","parfois","jamais","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (choix personnel)","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","parfois","jamais","jamais","rarement","jamais","jamais","jamais","jamais","rarement","jamais","oui, j'en ai entendu parler","journaux open peer review / évaluation ouverte (post-publication) (Winnower...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","non","non","non","non","non","Non","Oui","un homme","Sciences sociales","46 à 50 ans"
761,"nous sommes entre 2 et 5 personnes","maître / maîtresse de conférences et assimilés","fonctionnaire ou assimilé",,"1995","Windows","jamais","rarement","souvent","jamais","rarement","parfois","parfois","parfois","rarement","rarement","souvent","jamais","rarement","jamais","parfois","parfois","rarement","parfois","souvent","parfois","jamais","jamais","parfois","parfois","souvent","rarement","rarement","parfois","parfois","par des collègues, des amis;au cours d'une formation;en cherchant par moi-même","souvent","rarement","parfois","jamais","jamais","jamais","x","parfois","oui","Maison","conservation personnelle","non","toujours","rarement","rarement","parfois","souvent","toujours","parfois","parfois","x","des logiciels libres et gratuits;des logiciels internes à mon organisation","jamais",,"souvent",,"toujours","graph excel","jamais","souvent","parfois","jamais","jamais","jamais","jamais","rarement","souvent","rarement",,"souvent","toujours","rarement","rarement","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline","parfois","rarement","jamais","souvent","rarement","jamais","parfois","jamais","non","non","non","non","non","non","non","non","oui","souvent","jamais","parfois","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","non","non","non","non","question bien trop vague, la réponse est: ça dépend","oui
je ne sais pas","un homme","Physique, Sciences de la terre et de l'Univers","51 à 55 ans"
762,"nous sommes entre 6 et 10 personnes","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1984","Linux","jamais","rarement","toujours","jamais","parfois","rarement","jamais","parfois","jamais","souvent","toujours","jamais","parfois","rarement","jamais","parfois","jamais","rarement","parfois","rarement","jamais","jamais","jamais","toujours","jamais","jamais","souvent","jamais","rarement","par des collègues, des amis;par une veille sur ces questions;en cherchant par moi-même","souvent","souvent","souvent","jamais","jamais","jamais","variable, max 1Tb pour l'instant","souvent","oui","""Virtual Observatory"", GitHub","GitHub","non","jamais","jamais","jamais","rarement","parfois","parfois","souvent","jamais","logiciels métier, le + souvent écrits par moi et des collègues  (GILDAS, GDL) ou logiciels interopérables de l'""Observatoire Virtuel""","des logiciels libres et gratuits;des logiciels créés à cette fin (seul ou avec des collègues);des logiciels issus d'un projet de recherche","jamais",,"toujours","nombreux depuis près de 40 ans... la suite Gildas, la suite JMMC, TopCat, ...","toujours","idem","parfois","parfois","rarement","souvent","rarement","jamais","parfois","parfois","jamais","jamais","GDL (clone libre d'IDL) ou + anciennement Gildas.","parfois","toujours","souvent","rarement","rarement","jamais","jamais","jamais","jamais","jamais","jamais","diffusion en accès libre (choix personnel);diffusion en accès libre (imposé par mon institution, financeur);refus des revues prédatrices;transparence du processus d'évaluation","souvent","jamais","jamais","parfois","rarement","jamais","souvent","rarement","non","non","non","non","oui","oui","oui","non","oui","souvent","jamais","jamais","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","parfois","rarement","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","je pars en retraite ^))","un homme","Physique, Sciences de la terre et de l'Univers","61 à 65 ans"
763,"je travaille seul","doctorant / doctorante (y compris CIFRE)","chômage",,"2017","Windows;MacOS","souvent","parfois","rarement","jamais","jamais","jamais","rarement","jamais","jamais","souvent","parfois","jamais","jamais","jamais","parfois","parfois","souvent","parfois","souvent","parfois","jamais","jamais","rarement","jamais","jamais","jamais","jamais","jamais","jamais","par des collègues, des amis;par mon institution, mon entreprise;via les réseaux sociaux numériques (Twitter...);au cours d'une formation;en cherchant par moi-même","souvent","souvent","souvent","souvent","jamais","souvent","Je ne sais pas","rarement","oui","Disque dur","mon ordinateur","non","parfois","souvent","rarement","souvent","rarement","souvent","jamais","parfois","Je ne sais pas","des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"jamais","souvent","jamais","jamais","jamais","jamais","jamais","parfois","rarement","jamais","Photoshops","rarement","parfois","jamais","jamais","jamais","jamais","jamais","jamais","parfois","parfois","jamais","diffusion en accès libre (imposé par mon institution, financeur)","jamais","jamais","jamais","jamais","parfois","parfois","jamais","jamais","non","non","non","non","non","non","non","non","non","jamais","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","oui, parfaitement","pre-registering (PLOS, OSF, AsPredicted...);outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui","Je ne sais pas","je ne souhaite pas répondre","Sciences humaines","31 à 35 ans"
764,"nous sommes entre 2 et 5 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","en CDI",,"2010","MacOS;Linux","souvent","souvent","parfois","jamais","jamais","rarement","souvent","parfois","souvent","souvent","parfois","jamais","jamais","rarement","souvent","parfois","souvent","souvent","souvent","toujours","jamais","jamais","souvent","parfois","jamais","jamais","jamais","jamais","rarement","par des collègues, des amis;via les réseaux sociaux numériques (Twitter...);en cherchant par moi-même","souvent","rarement","toujours","rarement","parfois","jamais","data volume? a few GB a week, roughly speaking.","parfois","non",,,"non","rarement","parfois","rarement","souvent","souvent","parfois","souvent","parfois","Image J, SerialEM, Gatan Microscopy software","des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires","jamais",,"souvent","I write scripts or programs on Perl/C++","souvent","ImageJ, photoshop, gnuplot, pymol","jamais","toujours","parfois","parfois","jamais","jamais","jamais","parfois","jamais","jamais","ImageJ, Photoshop, Illustrator","souvent","toujours","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);refus des revues prédatrices","jamais","rarement","jamais","rarement","jamais","jamais","jamais","jamais","non","non","oui","non","non","non","non","non","non","parfois","jamais","rarement","jamais","rarement","toujours","toujours","jamais","jamais","jamais","jamais","jamais","parfois","non, je ne sais pas ce que c'est",,"oui","oui","non","non","non","non","I would say yes, but only with those who know what those data really mean.","I don't know.","un homme","Chimie, Matériaux","31 à 35 ans"
765,"nous sommes entre 6 et 10 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","fonctionnaire ou assimilé",,"1982","MacOS;Linux","rarement","souvent","toujours","jamais","jamais","rarement","jamais","souvent","parfois","souvent","toujours","jamais","jamais","rarement","jamais","souvent","parfois","toujours","rarement","parfois","jamais","jamais","jamais","souvent","rarement","jamais","jamais","rarement","parfois","par des collègues, des amis;par une veille sur ces questions;en cherchant par moi-même","toujours","rarement","souvent","rarement","parfois","parfois","1 Go","souvent","non",,,"oui","toujours","souvent","parfois","parfois","parfois","toujours","jamais","jamais","• Développements personnels ou d'équipe (programmés en Python, Julia, R, MATLAB, LibreOffice…) ;
• logiciels des instruments de mesure ;
• logiciels spécifiques de projet (CNES/NASA).","des logiciels créés à cette fin (seul ou avec des collègues);des logiciels internes à mon organisation;des logiciels issus d'un projet de recherche;des logiciels libres et gratuits;des logiciels partiellement ou complètement gratuits mais propriétaires","souvent","• Editeur texte ;
• Script Python ou Julia spécifique ;
• LibreOffice.","toujours","• Logiciels projet (mission NASA, dévelopmt d'équipe ou CNES ou LANL) ;
• Scripts spécifiques (Julia, R, Python) ;
• Visualiseurs (""vieux logiciels"" comme GNUplot, DataDesk, scripts, LibreOffice).","souvent","• La visualisation est un élément de l'analyse (données de mesure complexes) ;
• Développements au sein des projets (Python, vieux outils IDL, etc.) ;
• Développements personnels (Python, MATLAB, Julia, R) ;
• (DataDesk, approche ""analyse exploratrice des données"") ;
• Logiciels d'imagerie (ImageJ, ImageMagick, …).","rarement","souvent","jamais","parfois","souvent","jamais","parfois","parfois","rarement","jamais","• génération avec outils propres ; sauvegarde en png et/ou svg :
• reprise avec outils propres, sinon GIMP, InkScape ou LibreOffice Draw.","toujours","toujours","jamais","parfois","parfois","rarement","rarement","rarement","rarement","jamais","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;indicateurs chiffrés de la revue (Facteur d'impact, JCR, SIGAPS…);diffusion en accès libre (choix personnel);refus des revues prédatrices","souvent","jamais","jamais","parfois","jamais","rarement","souvent","jamais","non","non","non","non","oui","non","non","non","non","toujours","jamais","jamais","jamais","rarement","jamais","souvent","jamais","jamais","rarement","rarement","souvent","jamais","oui, j'en ai entendu parler","outils de peer review (PubPeer, ScienceOpen, Publons, Peer Community In, Self Journal of Science...)","oui","oui","oui","oui","oui","oui","Oui, si :
• on y adjoint des conditions d'utilisation et rediffusion (licences) ;
• on ajoute à la diffusion un temps de réserve (porjet NASA : imges, temps nul ; données numériques et autres : au plus 3 ou 6 mois) ;
• on fait la part des données brutes (sorties de l'instrument), des données validées (calibrées, etc.), des données trvaillées.","Euh… ni plus ni moins que lors de la décennie précédente :
 + logiciels libres au maximum ;
 + rapprochement des étudiant·e·s le plus tôt possible des pratiques de la recherche (sciences participatives ciblées),
 + réjuvénation des statuts de scientifique amateur·e, sur le modèle des ""astro-ams"",
… ce qui signifie un effort d'utilisation des machines de labo qui seraient sous-employées (ex. devenues ± obsolètes par rapport aux nécessités de la recherche de pointe) pour une mise à disposition auprès d'étudiant·e·s (question des reconnaissances universitaires) ou la production de données moins critiques (par ex. suite à des appels d'offre (légers mais motivés) vers les communautés amateures) & rendues publiques (question des financements, normalement réduits, mais non nuls).","une femme","Physique, Sciences de la terre et de l'Univers","61 à 65 ans"
766,"je travaille seul","professeur / professeure des universités et assimilés","fonctionnaire ou assimilé",,"1984","Windows","parfois","parfois","parfois","jamais","jamais","jamais","jamais","jamais","parfois","toujours","jamais","jamais","jamais","jamais","jamais","jamais","parfois","jamais","souvent","souvent","jamais","rarement","parfois","parfois","parfois","jamais","jamais","jamais","rarement","via les réseaux sociaux numériques (Twitter...);au cours d'une formation;en cherchant par moi-même","jamais","toujours","toujours","souvent","jamais","jamais","?","parfois","oui","?",,"non","toujours","parfois","jamais","toujours","rarement","toujours","jamais","toujours","je n'en utilise pas","des logiciels libres et gratuits","jamais",,"jamais",,"jamais",,"rarement","toujours","jamais","jamais","jamais","jamais","jamais","rarement","rarement","jamais","rien","souvent","souvent","rarement","souvent","rarement","jamais","rarement","parfois","rarement","parfois","jamais","notoriété de la revue, de l'éditeur, du congrès dans ma discipline;transparence du processus d'évaluation","jamais","jamais","jamais","jamais","jamais","rarement","jamais","jamais","non","non","non","non","non","non","non","non","non","toujours","jamais","souvent","parfois","rarement","rarement","jamais","jamais","parfois","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","oui","oui","oui","oui","je ne pense pas vraiment","une femme","Sciences humaines","61 à 65 ans"
767,"nous sommes plus de 50 personnes","chargé / chargée de recherche (CNRS, INSERM, INRAE, CNES...)","fonctionnaire ou assimilé",,"2006","Linux","rarement","toujours","toujours","jamais","jamais","rarement","toujours","toujours","jamais","toujours","toujours","jamais","jamais","jamais","toujours","toujours","jamais","rarement","souvent","jamais","jamais","jamais","souvent","souvent","souvent","jamais","jamais","jamais","souvent","par mon institution, mon entreprise;en cherchant par moi-même","toujours","rarement","parfois","jamais","jamais","jamais","Plusieurs TeraB","souvent","oui","XXXX_institutionnel","Institution","non","jamais","parfois","jamais","jamais","parfois","rarement","toujours","rarement","Sotware interne à la collaboration ATLAS","des logiciels créés à cette fin (seul ou avec des collègues);des logiciels internes à mon organisation;des logiciels issus d'un projet de recherche;des logiciels libres et gratuits","jamais",,"toujours","ROOT
python
C++","toujours","ROOT","jamais","rarement","parfois","souvent","jamais","jamais","parfois","jamais","jamais","jamais","ROOT
InkScape
Libroffie Draw","toujours","souvent","jamais","jamais","parfois","parfois","parfois","jamais","souvent","jamais","jamais","critères HCERES, FNGE, CNRS, CNU…;notoriété de la revue, de l'éditeur, du congrès dans ma discipline;diffusion en accès libre (imposé par mon institution, financeur)","souvent","jamais","jamais","jamais","parfois","jamais","jamais","jamais","non","non","non","non","oui","oui","oui","non","oui","toujours","jamais","souvent","jamais","jamais","souvent","jamais","jamais","jamais","jamais","jamais","souvent","jamais","non, je ne sais pas ce que c'est",,"oui","oui","oui","non","oui","non","oui","aucun idée","une femme","Physique, Sciences de la terre et de l'Univers","41 à 45 ans"
